feature,importance
POI购物,0.13549666
vegetation,0.11250306
容积率,0.10682726
POI体育,0.09871111
Land50234,0.09737526
railway_m,0.09659083
POI生活,0.092569895
POI公司,0.090951174
POI医疗,0.088881776
Land03,0.08786902
building_M,0.085027345
sky_MEAN,0.0822121
nighttime_,0.08159214
POI餐饮,0.07825742
建筑密,0.076198645
sidewalk_M,0.07449781
Land02,0.06424492
Subway_m,0.062917516
LENGTH,0.061487224
SUM,0.060979765
Land505,0.05988873
MEAN,0.057970796
POI科教,0.05753354
POI政府,0.05512153
high_grade,0.048658177
Land01,0.035972487
SUM_1,0.03415274
NDVI_MEAN,0.032268487
car_road_m,0.03196882
POI风景,0.030942712
不透水,0.026702113
POI商务,0.025325954
LENGTH_1,0.02243412
PNT_COUNT,0.015908845
